,pred_label,recall,balanced_accuracy,top_5_features,model
0,intra day underperformance,0.7763713080168776,0.6392405063291139,"['neutral', 'negative', 'positive']",RFModel
1,in-week underperformance,0.7824267782426778,0.6234309623430963,"['positive', 'negative', 'neutral']",RFModel
2,in-month underperformance,0.7522123893805309,0.6084070796460177,"['negative', 'positive', 'neutral']",RFModel
0,intra day underperformance,0.7763713080168776,0.6244725738396624,"['positive', 'negative', 'neutral']",XGBoost
1,in-week underperformance,0.698744769874477,0.5753138075313807,"['positive', 'neutral', 'negative']",XGBoost
2,in-month underperformance,0.7477876106194691,0.5730088495575222,"['positive', 'negative', 'neutral']",XGBoost
0,intra day underperformance,0.5738396624472574,0.5759493670886076,"['negative', 'positive', 'neutral']",Logreg
1,in-week underperformance,0.5313807531380753,0.5585774058577406,"['negative', 'neutral', 'positive']",Logreg
2,in-month underperformance,0.5619469026548672,0.5774336283185841,"['negative', 'positive', 'neutral']",Logreg
